id,titre,marque,categorie,prix,prix_barre,devise,retailer,remise_pct,segment
rP7Lp38,Leather Handbag,Bottega Veneta,Handbags,1745.0,2425.0,USD,jomashop.com,28.0,2. Mid
gW1gxYV,Prada Darling Leather Handbag,Prada,"Handbags, Wallets & Cases",3550.0,,USD,prada.com,,3. Luxe
t2JZlpl,Amazona 23 Leather Handbag,LOEWE,Handbags,2774.0,4170.0,USD,luosophy.com,33.5,3. Luxe
oqE5xBI,Vita Leather Handbag,Golden Goose,Handbags,724.0,1278.0,USD,us.thahab.com,43.3,2. Mid
JAOAQX5,Darling leather handbag,Prada,"Handbags, Wallets & Cases",3550.0,,USD,prada.com,,3. Luxe
abH9Of0,Classic Genuine Leather Handbag,Nordstrom,Handbags,228.0,,USD,nordstrom.com,,1. Accessible
cNKITa5,Leather Handbag,Salvatore Ferragamo,Handbags,441.0,592.0,USD,shop.simon.com,25.5,1. Accessible
UJIGnIj,Leather handbag,Mango,"Handbags, Wallets & Cases",269.99,,USD,shop.mango.com,,1. Accessible
9CI1FIK,Medium Leather Handbag,Longchamp,Handbags,449.97,830.0,USD,nordstromrack.com,45.8,1. Accessible
FJqwpa2,Braided Leather Handbag,Nordstrom,Handbags,199.0,,USD,nordstrom.com,,1. Accessible
YNvpRyx,Sally Leather Handbag,THE ROW,Handbags,910.0,,USD,lagarconne.com,,2. Mid
Gl8MXZ6,Leather Handbag,Maison Margiela,Handbags,4096.0,4287.0,USD,fashdes.co,4.5,3. Luxe
mQ3yal1,India Bag,THE ROW,Handbags,5040.0,5600.0,USD,therealreal.com,10.0,3. Luxe
GcfkUFp,Smooth leather handbag,Armani,Handbags,625.0,,USD,armani.com,,1. Accessible
CwSemTD,Leather Handbag with Removable Shoulder Strap,Jil Sander,Handbags,1228.0,1817.0,USD,shop.simon.com,32.4,2. Mid
8r9Ypoz,Rodeo Medium Smooth Leather Handbag,Balenciaga,Handbags,4591.0,,USD,fashdes.co,,3. Luxe
eAgwhVP,Large Leather Handbag,Prada,Handbags,4345.0,,USD,ln-cc.com,,3. Luxe
jaBqkuL,Le Roseau S Handbag,Longchamp,Handbags,780.0,,USD,longchamp.com,,2. Mid
tCzTRaG,Leather Handbag,Hereu,Handbags,692.0,,USD,next.us,,2. Mid
8dSs3Pf,Top Handle Bag,Radley,Handbags,189.97,375.0,USD,nordstromrack.com,49.3,1. Accessible
ck98D1Z,Classic Leather Shoes,Reebok,Shoes,75.0,,USD,reebok.com,,1. Accessible
JOdZOh6,Leather Shoes,Paco Rabanne,Shoes,400.0,800.0,USD,farfetch.com,50.0,3. Luxe
uOdRAcI,Classic Leather Shoes,Reebok,Shoes,85.0,,USD,reebok.com,,1. Accessible
7t1UwJG,Derby Leather Shoes,Burberry,Shoes,865.0,,USD,machine-a.com,,3. Luxe
SvhQ7A0,Skiff Apron Leather Shoes,AllSaints,Shoes,319.0,,USD,allsaints.com,,3. Luxe
1H9TbgE,Fantasy - black leather shoes,Wolky,Shoes,99.0,219.0,USD,wolky.com,54.8,2. Mid
