client_id,nb_achats,ca_client,panier_moyen,premier_achat,dernier_achat,note_moyenne,nb_categories,recence_jours,r_score,f_score,m_score,rfm,segment_valeur
3957,11,1150.0,104.55,2022-10-03,2023-07-08,3.21,9,85,1,1,1,111,1. Occasionnel
3958,17,1334.0,78.47,2022-11-02,2023-09-14,2.69,14,17,2,2,1,221,1. Occasionnel
3959,19,2047.0,107.74,2022-11-02,2023-08-14,3.05,13,48,1,3,3,133,3. Fidèle
3960,15,1434.0,95.6,2022-10-31,2023-09-14,3.25,14,17,2,2,1,221,1. Occasionnel
3961,17,1811.0,106.53,2022-10-07,2023-08-29,2.58,15,33,1,2,2,122,2. Régulier
3962,13,1617.0,124.38,2022-10-08,2023-09-25,2.35,9,6,4,1,2,412,2. Régulier
3963,14,1592.0,113.71,2022-10-04,2023-09-20,2.96,14,11,3,1,2,312,2. Régulier
3964,17,1841.0,108.29,2022-11-09,2023-09-15,2.79,14,16,3,2,2,322,2. Régulier
3965,18,1918.0,106.56,2022-10-03,2023-09-28,2.55,16,3,4,3,3,433,3. Fidèle
3966,13,1644.0,126.46,2022-10-04,2023-09-17,3.06,11,14,3,1,2,312,2. Régulier
3967,19,1963.0,103.32,2022-10-06,2023-09-26,3.48,17,5,4,3,3,433,3. Fidèle
3968,23,2321.0,100.91,2022-10-05,2023-09-21,2.66,15,10,3,4,3,343,3. Fidèle
3969,13,1135.0,87.31,2022-12-01,2023-09-15,2.81,12,16,3,1,1,311,1. Occasionnel
3970,21,2341.0,111.48,2022-12-12,2023-09-21,3.07,18,10,3,4,3,343,3. Fidèle
3971,15,1493.0,99.53,2022-10-11,2023-08-29,2.98,12,33,1,2,2,122,2. Régulier
3972,18,4938.0,274.33,2022-10-26,2023-07-16,3.4,17,77,1,3,4,134,4. VIP
3973,25,5092.0,203.68,2022-10-03,2023-09-04,2.91,20,27,2,4,4,244,4. VIP
3974,19,3974.0,209.16,2022-10-20,2023-09-29,2.95,15,2,4,3,4,434,4. VIP
3975,11,1010.0,91.82,2022-11-17,2023-09-29,3.15,11,2,4,1,1,411,1. Occasionnel
3976,18,6161.0,342.28,2022-12-11,2023-09-28,3.15,15,3,4,3,4,434,4. VIP
3977,16,1168.0,73.0,2022-10-07,2023-09-20,3.56,13,11,3,2,1,321,1. Occasionnel
3978,24,3110.0,129.58,2022-10-14,2023-09-28,3.35,21,3,4,4,4,444,4. VIP
3979,15,1675.0,111.67,2022-10-22,2023-09-08,2.66,13,23,2,2,2,222,2. Régulier
3980,20,4361.0,218.05,2022-10-04,2023-08-30,3.51,15,32,2,4,4,244,4. VIP
3981,13,5096.0,392.0,2022-10-11,2023-09-10,3.19,11,21,2,1,4,214,4. VIP
3982,16,2109.0,131.81,2022-11-22,2023-09-12,2.85,15,19,2,2,3,223,3. Fidèle
3983,12,1163.0,96.92,2022-11-08,2023-09-30,3.4,9,1,4,1,1,411,1. Occasionnel
3984,14,6327.0,451.93,2022-11-25,2023-08-25,3.61,13,37,1,1,4,114,4. VIP
3985,20,2076.0,103.8,2022-10-05,2023-09-24,2.75,15,7,3,4,3,343,3. Fidèle
3986,20,6097.0,304.85,2022-10-12,2023-09-25,2.83,18,6,4,4,4,444,4. VIP
3987,16,1797.0,112.31,2022-10-28,2023-09-01,2.73,14,30,2,2,2,222,2. Régulier
3988,19,2202.0,115.89,2022-10-19,2023-09-24,2.98,18,7,3,3,3,333,3. Fidèle
3989,20,2134.0,106.7,2022-11-06,2023-09-13,3.52,17,18,2,4,3,243,3. Fidèle
3990,19,1925.0,101.32,2022-10-07,2023-09-11,3.22,15,20,2,3,3,233,3. Fidèle
3991,12,1347.0,112.25,2022-10-05,2023-09-19,3.29,11,12,3,1,1,311,1. Occasionnel
3992,21,2238.0,106.57,2022-10-04,2023-09-22,3.13,18,9,3,4,3,343,3. Fidèle
3993,15,1642.0,109.47,2022-10-08,2023-09-27,3.23,14,4,4,2,2,422,2. Régulier
3994,20,2201.0,110.05,2022-10-18,2023-09-10,2.56,18,21,2,4,3,243,3. Fidèle
3995,18,1788.0,99.33,2022-11-03,2023-09-20,3.11,17,11,3,3,2,332,2. Régulier
3996,14,1421.0,101.5,2022-12-30,2023-09-05,2.46,14,26,2,1,1,211,1. Occasionnel
3997,14,3889.0,277.79,2022-10-15,2023-09-05,3.96,13,26,2,1,4,214,4. VIP
3998,14,1732.0,123.71,2022-11-06,2023-09-23,2.62,13,8,3,1,2,312,2. Régulier
3999,19,1871.0,98.47,2022-10-15,2023-09-15,2.87,15,16,3,3,2,332,2. Régulier
4000,22,1965.0,89.32,2022-10-26,2023-10-01,3.59,18,0,4,4,3,443,3. Fidèle
4001,21,4942.0,235.33,2022-10-10,2023-09-17,2.89,18,14,3,4,4,344,4. VIP
4002,22,6320.0,287.27,2022-10-12,2023-08-09,2.71,18,53,1,4,4,144,4. VIP
4003,14,1641.0,117.21,2022-12-29,2023-09-30,2.79,11,1,4,1,2,412,2. Régulier
4004,14,1456.0,104.0,2022-10-15,2023-09-24,3.05,13,7,3,2,1,321,1. Occasionnel
4005,16,1847.0,115.44,2022-10-13,2023-10-01,3.23,14,0,4,2,2,422,2. Régulier
4006,21,2012.0,95.81,2022-10-03,2023-09-28,2.85,17,3,4,4,3,443,3. Fidèle
4007,13,1433.0,110.23,2022-11-18,2023-07-27,2.74,11,66,1,1,1,111,1. Occasionnel
4008,21,2094.0,99.71,2022-10-02,2023-08-16,3.14,19,46,1,4,3,143,3. Fidèle
4009,17,1349.0,79.35,2022-11-04,2023-09-24,2.77,16,7,3,3,1,331,1. Occasionnel
4010,19,6513.0,342.79,2022-10-21,2023-08-31,3.01,18,31,2,3,4,234,4. VIP
4011,17,1732.0,101.88,2022-11-11,2023-09-29,3.38,13,2,4,3,2,432,2. Régulier
4012,11,3432.0,312.0,2022-10-14,2023-09-18,3.22,11,13,3,1,4,314,4. VIP
4013,16,1463.0,91.44,2022-10-07,2023-08-22,2.94,14,40,1,2,1,121,1. Occasionnel
4014,12,1002.0,83.5,2022-10-02,2023-09-22,3.35,10,9,3,1,1,311,1. Occasionnel
4015,14,1464.0,104.57,2022-10-11,2023-09-22,3.07,13,9,3,2,1,321,1. Occasionnel
4016,13,1115.0,85.77,2022-11-27,2023-07-29,2.56,10,64,1,1,1,111,1. Occasionnel
4017,22,5012.0,227.82,2022-10-28,2023-09-28,3.26,20,3,4,4,4,444,4. VIP
4018,15,5805.0,387.0,2022-10-18,2023-08-15,3.34,13,47,1,2,4,124,4. VIP
4019,14,3598.0,257.0,2022-10-10,2023-09-30,3.46,12,1,4,2,4,424,4. VIP
4020,13,1644.0,126.46,2022-10-03,2023-09-26,2.6,13,5,4,1,2,412,2. Régulier
4021,13,1237.0,95.15,2022-11-01,2023-09-30,2.76,12,1,4,1,1,411,1. Occasionnel
4022,11,1254.0,114.0,2022-10-10,2023-08-27,2.25,11,35,1,1,1,111,1. Occasionnel
4023,17,1951.0,114.76,2022-10-27,2023-08-21,3.31,15,41,1,3,3,133,3. Fidèle
4024,14,1375.0,98.21,2022-10-09,2023-08-03,2.9,14,59,1,2,1,121,1. Occasionnel
4025,12,1530.0,127.5,2022-10-02,2023-09-25,2.79,9,6,4,1,2,412,2. Régulier
4026,15,1484.0,98.93,2022-10-15,2023-08-20,3.3,12,42,1,2,1,121,1. Occasionnel
4027,11,1087.0,98.82,2022-10-19,2023-09-12,2.79,9,19,2,1,1,211,1. Occasionnel
4028,16,1287.0,80.44,2022-10-11,2023-08-22,2.66,11,40,1,2,1,121,1. Occasionnel
4029,22,1912.0,86.91,2022-10-04,2023-10-01,2.76,21,0,4,4,3,443,3. Fidèle
4030,11,1236.0,112.36,2022-10-15,2023-07-30,2.53,10,63,1,1,1,111,1. Occasionnel
4031,17,2219.0,130.53,2022-10-10,2023-08-25,2.56,14,37,1,3,3,133,3. Fidèle
4032,16,1500.0,93.75,2022-10-03,2023-09-12,2.9,15,19,2,2,2,222,2. Régulier
4033,18,2338.0,129.89,2022-10-24,2023-08-31,3.05,15,31,2,3,3,233,3. Fidèle
4034,21,2524.0,120.19,2022-10-09,2023-09-07,2.44,16,24,2,4,3,243,3. Fidèle
4035,12,5151.0,429.25,2022-11-15,2023-07-26,3.46,11,67,1,1,4,114,4. VIP
4036,13,1856.0,142.77,2022-10-10,2023-09-25,3.32,12,6,4,1,2,412,2. Régulier
4037,13,1572.0,120.92,2022-11-05,2023-09-13,3.34,11,18,2,1,2,212,2. Régulier
4038,16,1448.0,90.5,2022-10-07,2023-08-14,2.91,14,48,1,2,1,121,1. Occasionnel
4039,10,1093.0,109.3,2022-10-25,2023-07-05,3.17,10,88,1,1,1,111,1. Occasionnel
4040,18,9657.0,536.5,2022-11-22,2023-09-27,2.72,17,4,4,3,4,434,4. VIP
4041,11,896.0,81.45,2022-10-05,2023-09-23,2.82,10,8,3,1,1,311,1. Occasionnel
4042,20,2221.0,111.05,2022-11-12,2023-09-03,3.16,16,28,2,4,3,243,3. Fidèle
4043,15,1899.0,126.6,2022-10-06,2023-09-17,2.9,12,14,3,2,2,322,2. Régulier
4044,18,8745.0,485.83,2022-11-15,2023-08-24,3.38,15,38,1,3,4,134,4. VIP
4045,14,1572.0,112.29,2022-11-29,2023-09-01,2.9,11,30,2,2,2,222,2. Régulier
4046,8,928.0,116.0,2022-10-07,2023-08-03,3.32,7,59,1,1,1,111,1. Occasionnel
4047,17,1836.0,108.0,2022-10-05,2023-08-26,2.6,16,36,1,3,2,132,2. Régulier
4048,16,1762.0,110.12,2022-10-03,2023-08-28,2.97,11,34,1,2,2,122,2. Régulier
4049,19,2069.0,108.89,2022-10-13,2023-09-28,2.71,17,3,4,3,3,433,3. Fidèle
4050,10,1004.0,100.4,2022-10-11,2023-06-20,2.38,9,103,1,1,1,111,1. Occasionnel
4051,21,2093.0,99.67,2022-10-31,2023-09-24,2.68,18,7,3,4,3,343,3. Fidèle
4052,19,2145.0,112.89,2022-10-15,2023-09-18,2.64,18,13,3,3,3,333,3. Fidèle
4053,13,1843.0,141.77,2022-11-02,2023-08-31,3.08,8,31,2,1,2,212,2. Régulier
4054,16,5315.0,332.19,2022-11-29,2023-09-07,3.01,14,24,2,2,4,224,4. VIP
4055,15,4128.0,275.2,2022-10-31,2023-09-17,2.98,13,14,3,2,4,324,4. VIP
4056,19,1976.0,104.0,2022-11-19,2023-07-28,2.77,15,65,1,3,3,133,3. Fidèle
4057,18,1680.0,93.33,2022-10-09,2023-09-28,2.91,16,3,4,3,2,432,2. Régulier
4058,14,1402.0,100.14,2022-10-16,2023-09-24,2.6,13,7,4,2,1,421,1. Occasionnel
4059,17,1664.0,97.88,2022-10-23,2023-09-30,2.79,15,1,4,3,2,432,2. Régulier
4060,17,5033.0,296.06,2022-10-17,2023-09-26,3.06,14,5,4,3,4,434,4. VIP
4061,15,1284.0,85.6,2022-10-03,2023-07-30,2.93,13,63,1,2,1,121,1. Occasionnel
4062,17,1405.0,82.65,2022-10-03,2023-09-05,3.15,17,26,2,3,1,231,1. Occasionnel
4063,18,1774.0,98.56,2022-11-08,2023-09-18,3.34,16,13,3,3,2,332,2. Régulier
4064,14,1525.0,108.93,2022-10-08,2023-08-13,3.38,12,49,1,2,2,122,2. Régulier
4065,24,2857.0,119.04,2022-10-09,2023-09-25,2.62,18,6,4,4,4,444,4. VIP
4066,14,1392.0,99.43,2022-10-13,2023-09-03,2.85,12,28,2,2,1,221,1. Occasionnel
4067,20,6528.0,326.4,2022-11-12,2023-08-27,3.23,17,35,1,4,4,144,4. VIP
4068,23,5827.0,253.35,2022-10-14,2023-09-14,2.52,16,17,2,4,4,244,4. VIP
4069,15,1145.0,76.33,2022-10-19,2023-08-05,3.25,12,57,1,2,1,121,1. Occasionnel
4070,21,4964.0,236.38,2022-10-04,2023-09-05,2.75,15,26,2,4,4,244,4. VIP
4071,16,2016.0,126.0,2022-10-02,2023-08-23,2.75,16,39,1,2,3,123,3. Fidèle
4072,17,1848.0,108.71,2022-10-15,2023-09-22,3.29,16,9,3,3,2,332,2. Régulier
4073,23,2536.0,110.26,2022-10-07,2023-09-30,3.01,20,1,4,4,3,443,3. Fidèle
4074,18,1798.0,99.89,2022-10-05,2023-09-22,2.79,14,9,3,3,2,332,2. Régulier
4075,25,7416.0,296.64,2022-10-03,2023-09-25,2.94,17,6,4,4,4,444,4. VIP
4076,11,928.0,84.36,2022-10-03,2023-06-30,2.91,10,93,1,1,1,111,1. Occasionnel
4077,19,2374.0,124.95,2022-11-10,2023-09-03,3.07,15,28,2,4,3,243,3. Fidèle
4078,28,3046.0,108.79,2022-10-05,2023-09-26,3.28,24,5,4,4,4,444,4. VIP
4079,6,802.0,133.67,2022-12-11,2023-07-28,3.02,5,65,1,1,1,111,1. Occasionnel
4080,14,4371.0,312.21,2022-11-03,2023-09-22,3.46,14,9,3,2,4,324,4. VIP
4081,24,4517.0,188.21,2022-10-03,2023-09-22,2.84,17,9,3,4,4,344,4. VIP
4082,21,2690.0,128.1,2022-10-18,2023-09-14,3.07,15,17,2,4,3,243,3. Fidèle
4083,17,4275.0,251.47,2022-10-04,2023-09-08,3.27,13,23,2,3,4,234,4. VIP
4084,21,2292.0,109.14,2022-10-12,2023-08-31,2.74,16,31,2,4,3,243,3. Fidèle
4085,14,1423.0,101.64,2022-10-27,2023-08-29,2.58,11,33,2,2,1,221,1. Occasionnel
4086,18,1851.0,102.83,2022-10-15,2023-09-07,3.33,16,24,2,3,2,232,2. Régulier
4087,9,1029.0,114.33,2022-10-10,2023-08-27,2.97,8,35,1,1,1,111,1. Occasionnel
4088,18,1970.0,109.44,2022-10-07,2023-09-25,3.39,15,6,4,3,3,433,3. Fidèle
4089,11,1328.0,120.73,2022-10-27,2023-07-18,2.74,10,75,1,1,1,111,1. Occasionnel
4090,19,1862.0,98.0,2022-10-24,2023-09-29,2.74,13,2,4,4,2,442,2. Régulier
4091,14,1672.0,119.43,2022-10-15,2023-08-19,3.15,12,43,1,2,2,122,2. Régulier
4092,15,1940.0,129.33,2022-10-02,2023-09-06,2.79,12,25,2,2,3,223,3. Fidèle
4093,18,1792.0,99.56,2022-10-02,2023-09-24,2.55,16,7,4,3,2,432,2. Régulier
4094,15,1667.0,111.13,2022-10-11,2023-08-19,2.96,13,43,1,2,2,122,2. Régulier
4095,17,1520.0,89.41,2022-10-25,2023-09-14,2.83,16,17,2,3,2,232,2. Régulier
4096,10,3293.0,329.3,2022-10-17,2023-09-30,3.52,9,1,4,1,4,414,4. VIP
4097,8,3926.0,490.75,2022-10-10,2023-06-07,3.61,7,116,1,1,4,114,4. VIP
4098,17,1595.0,93.82,2022-10-08,2023-09-21,2.91,15,10,3,3,2,332,2. Régulier
4099,16,6002.0,375.12,2022-10-25,2023-09-16,2.99,13,15,3,2,4,324,4. VIP
4100,15,1748.0,116.53,2022-11-04,2023-09-23,2.99,14,8,3,2,2,322,2. Régulier
4101,8,943.0,117.88,2022-11-26,2023-09-22,2.81,7,9,3,1,1,311,1. Occasionnel
4102,19,4085.0,215.0,2022-10-31,2023-09-07,3.1,14,24,2,4,4,244,4. VIP
4103,20,6375.0,318.75,2022-10-13,2023-09-20,2.95,17,11,3,4,4,344,4. VIP
4104,15,1845.0,123.0,2022-12-22,2023-09-30,2.77,11,1,4,2,2,422,2. Régulier
4105,22,1958.0,89.0,2022-10-20,2023-09-08,2.86,19,23,2,4,3,243,3. Fidèle
4106,17,1952.0,114.82,2022-10-19,2023-09-07,3.13,15,24,2,3,3,233,3. Fidèle
4107,18,2083.0,115.72,2022-10-28,2023-07-27,2.71,16,66,1,3,3,133,3. Fidèle
4108,19,6864.0,361.26,2022-10-02,2023-10-01,2.96,18,0,4,4,4,444,4. VIP
4109,13,9685.0,745.0,2022-10-18,2023-09-30,2.7,13,1,4,1,4,414,4. VIP
4110,21,4467.0,212.71,2022-10-04,2023-10-01,3.47,17,0,4,4,4,444,4. VIP
4111,22,2341.0,106.41,2022-10-06,2023-09-15,3.05,19,16,3,4,3,343,3. Fidèle
4112,7,885.0,126.43,2022-11-07,2023-09-01,3.02,7,30,2,1,1,211,1. Occasionnel
4113,18,2051.0,113.94,2022-10-11,2023-09-15,2.94,16,16,3,3,3,333,3. Fidèle
4114,15,1447.0,96.47,2022-10-10,2023-09-01,3.14,13,30,2,2,1,221,1. Occasionnel
4115,22,4807.0,218.5,2022-10-08,2023-09-20,3.17,18,11,3,4,4,344,4. VIP
4116,17,1968.0,115.76,2022-10-10,2023-09-18,3.09,14,13,3,3,3,333,3. Fidèle
4117,20,1998.0,99.9,2022-10-07,2023-09-13,2.6,15,18,2,4,3,243,3. Fidèle
4118,19,1899.0,99.95,2022-10-14,2023-09-14,3.09,16,17,3,4,2,342,2. Régulier
4119,13,1357.0,104.38,2022-10-13,2023-09-14,3.35,10,17,3,1,1,311,1. Occasionnel
4120,18,2081.0,115.61,2022-10-17,2023-09-30,2.89,15,1,4,3,3,433,3. Fidèle
4121,17,2035.0,119.71,2022-10-08,2023-07-30,3.05,12,63,1,3,3,133,3. Fidèle
4122,28,5652.0,201.86,2022-10-08,2023-09-29,3.25,19,2,4,4,4,444,4. VIP
