transaction_id,client_id,article,montant,date,note,paiement,mois,annee,jour_semaine
TX00001,4018,Handbag,4619.0,2023-02-05,,Credit Card,2023-02,2023,Sunday
TX00002,4115,Tunic,2456.0,2023-07-11,2.0,Credit Card,2023-07,2023,Tuesday
TX00003,4019,Tank Top,2102.0,2023-03-23,4.1,Cash,2023-03,2023,Thursday
TX00004,4097,Leggings,3126.0,2023-03-15,3.2,Cash,2023-03,2023,Wednesday
TX00005,3997,Wallet,3003.0,2022-11-27,4.7,Cash,2022-11,2022,Sunday
TX00006,4080,Onesie,2914.0,2022-12-11,4.5,Credit Card,2022-12,2022,Sunday
TX00007,4055,Jacket,2571.0,2023-07-08,1.3,Cash,2023-07,2023,Saturday
TX00008,3973,Trousers,2419.0,2022-11-10,4.6,Cash,2022-11,2022,Thursday
TX00009,4044,Jeans,4771.0,2023-05-19,4.1,Cash,2023-05,2023,Friday
TX00010,4010,Loafers,4233.0,2023-06-11,,Credit Card,2023-06,2023,Sunday
TX00011,4108,Slippers,2356.0,2023-03-19,4.8,Credit Card,2023-03,2023,Sunday
TX00012,4067,Bowtie,4418.0,2022-11-21,3.4,Cash,2022-11,2022,Monday
TX00013,4068,Pajamas,3728.0,2022-12-09,,Credit Card,2022-12,2022,Friday
TX00014,4102,Trench Coat,2130.0,2023-01-29,4.8,Cash,2023-01,2023,Sunday
TX00015,4044,Handbag,2122.0,2023-08-01,1.2,Credit Card,2023-08,2023,Tuesday
TX00016,4096,Poncho,2383.0,2023-04-10,,Credit Card,2023-04,2023,Monday
TX00017,4017,Gloves,2895.0,2023-07-17,3.6,Credit Card,2023-07,2023,Monday
TX00018,4001,Trench Coat,2952.0,2023-06-13,2.2,Cash,2023-06,2023,Tuesday
TX00019,3976,Slippers,4069.0,2023-06-18,4.9,Credit Card,2023-06,2023,Sunday
TX00020,4103,Romper,4465.0,2022-11-21,,Credit Card,2022-11,2022,Monday
TX00021,4081,T-shirt,2108.0,2023-03-25,,Cash,2023-03,2023,Saturday
TX00022,3986,Gloves,4298.0,2023-04-05,4.2,Cash,2023-04,2023,Wednesday
TX00023,4108,Jeans,2814.0,2023-02-11,4.4,Credit Card,2023-02,2023,Saturday
TX00024,4109,Flip-Flops,4932.0,2022-12-20,4.0,Credit Card,2022-12,2022,Tuesday
TX00025,4075,Tunic,4661.0,2023-04-12,1.2,Credit Card,2023-04,2023,Wednesday
TX00026,4040,Shorts,4872.0,2023-08-25,3.8,Cash,2023-08,2023,Friday
TX00027,4099,Blazer,4232.0,2022-10-25,2.7,Credit Card,2022-10,2022,Tuesday
TX00028,3981,Boots,3718.0,2023-09-10,2.8,Credit Card,2023-09,2023,Sunday
TX00029,4070,Poncho,2902.0,2023-08-04,4.9,Cash,2023-08,2023,Friday
TX00030,4002,Belt,3839.0,2023-05-26,1.8,Cash,2023-05,2023,Friday
TX00031,4035,Tunic,4413.0,2022-12-23,1.2,Credit Card,2022-12,2022,Friday
