article,nb_ventes,ca,panier_moyen,note_moyenne,nb_clients,pct_ca,alerte_satisfaction
Tunic,54,17275.0,319.91,2.54,46,4.01,CRITIQUE
Jeans,48,13068.0,272.25,3.16,38,3.03,OK
Pajamas,61,12798.0,209.8,2.84,52,2.97,VIGILANCE
Shorts,74,12702.0,171.65,2.84,54,2.95,VIGILANCE
Handbag,59,12668.0,214.71,3.24,51,2.94,OK
Gloves,52,12330.0,237.12,3.1,42,2.86,OK
Boots,52,11891.0,228.67,3.13,45,2.76,OK
Poncho,60,11422.0,190.37,2.83,46,2.65,VIGILANCE
Flip-Flops,41,11309.0,275.83,3.35,35,2.62,OK
Slippers,46,11284.0,245.3,3.07,37,2.62,OK
Loafers,60,11005.0,183.42,2.79,48,2.55,VIGILANCE
Sweater,51,10870.0,213.14,3.1,44,2.52,OK
Belt,69,10484.0,151.94,2.95,58,2.43,VIGILANCE
Blouse,57,10472.0,183.72,2.84,49,2.43,VIGILANCE
Trench Coat,56,9992.0,178.43,3.2,50,2.32,OK
Blazer,54,9985.0,184.91,3.06,48,2.32,OK
Hoodie,62,9579.0,154.5,2.8,54,2.22,VIGILANCE
Onesie,59,9549.0,161.85,2.98,50,2.22,VIGILANCE
Romper,48,9461.0,197.1,3.1,42,2.2,OK
Wallet,60,9372.0,156.2,3.14,46,2.17,OK
Pants,71,9295.0,130.92,3.05,56,2.16,OK
Cardigan,61,9270.0,151.97,3.06,53,2.15,OK
Scarf,59,9175.0,155.51,3.1,48,2.13,OK
Kimono,61,9130.0,149.67,2.89,51,2.12,VIGILANCE
T-shirt,63,9043.0,143.54,3.16,48,2.1,OK
Swimsuit,49,9026.0,184.2,3.16,43,2.09,OK
Bowtie,44,8705.0,197.84,2.84,40,2.02,VIGILANCE
Tank Top,66,8296.0,125.7,3.19,59,1.93,OK
Leggings,49,8087.0,165.04,2.66,44,1.88,CRITIQUE
Socks,59,8033.0,136.15,2.73,50,1.86,VIGILANCE
Jacket,50,7899.0,157.98,2.64,47,1.83,CRITIQUE
Skirt,70,7357.0,105.1,3.33,57,1.71,OK
Raincoat,55,6777.0,123.22,2.99,45,1.57,VIGILANCE
Trousers,40,6458.0,161.45,2.91,37,1.5,VIGILANCE
Sneakers,59,6436.0,109.08,2.94,48,1.49,VIGILANCE
Vest,58,6190.0,106.72,2.99,50,1.44,VIGILANCE
Backpack,55,6168.0,112.15,3.04,51,1.43,OK
Camisole,62,6136.0,98.97,2.74,51,1.42,VIGILANCE
Umbrella,54,5815.0,107.69,3.1,46,1.35,OK
Hat,56,5783.0,103.27,2.83,50,1.34,VIGILANCE
Overalls,54,5574.0,103.22,3.02,47,1.29,OK
Sandals,47,5571.0,118.53,3.23,43,1.29,OK
Coat,52,5554.0,106.81,3.1,42,1.29,OK
Sunglasses,59,5495.0,93.14,2.67,50,1.28,CRITIQUE
Flannel Shirt,53,5426.0,102.38,2.59,46,1.26,CRITIQUE
Jumpsuit,46,5254.0,114.22,3.27,40,1.22,OK
Tie,46,4743.0,103.11,2.99,39,1.1,VIGILANCE
Polo Shirt,43,4556.0,105.95,2.81,39,1.06,VIGILANCE
Dress,44,4107.0,93.34,2.97,40,0.95,VIGILANCE
Sun Hat,42,4077.0,97.07,3.51,36,0.95,OK
