season,player_api_id,poste_groupe,overall_rating,pct_titularisation,titularisations,matchs_connus,rang_note,rang_temps
2013/2014,33963,Défenseur,74,15.8,6,38,71.0,14.0
2013/2014,102356,Défenseur,73,15.8,6,38,66.0,14.0
2013/2014,37475,Défenseur,79,15.8,6,38,92.0,14.0
2013/2014,301241,Défenseur,56,15.8,6,38,3.0,14.0
2013/2014,281974,Défenseur,57,15.8,6,38,3.0,14.0
2013/2014,188058,Défenseur,59,15.8,6,38,5.0,14.0
2013/2014,210138,Défenseur,61,15.8,6,38,9.0,14.0
2013/2014,303358,Défenseur,60,15.8,6,38,7.0,14.0
2013/2014,201111,Défenseur,75,16.7,5,30,78.0,15.0
2013/2014,92024,Défenseur,64,16.7,6,36,19.0,15.0
2013/2014,164059,Défenseur,64,16.7,5,30,19.0,15.0
2013/2014,149279,Défenseur,64,16.7,1,6,19.0,15.0
2013/2014,210443,Défenseur,69,16.7,5,30,45.0,15.0
2013/2014,114368,Défenseur,66,16.7,1,6,29.0,15.0
2013/2014,47553,Défenseur,68,16.7,5,30,40.0,15.0
2013/2014,385273,Défenseur,56,16.7,5,30,3.0,15.0
2013/2014,394472,Défenseur,58,16.7,6,36,4.0,15.0
2013/2014,245526,Défenseur,70,17.6,6,34,50.0,16.0
2013/2014,209419,Défenseur,66,17.6,6,34,29.0,16.0
2013/2014,30250,Défenseur,74,17.6,6,34,71.0,16.0
2013/2014,161396,Défenseur,71,17.6,6,34,55.0,16.0
2013/2014,443966,Défenseur,56,17.6,6,34,3.0,16.0
2013/2014,42168,Défenseur,76,18.4,7,38,82.0,16.0
2013/2014,24504,Défenseur,78,18.4,7,38,89.0,16.0
2013/2014,173382,Défenseur,68,18.4,7,38,40.0,16.0
2013/2014,150833,Défenseur,74,18.4,7,38,71.0,16.0
2013/2014,26005,Défenseur,81,18.4,7,38,96.0,16.0
2013/2014,151009,Défenseur,72,18.4,7,38,59.0,16.0
2013/2014,251243,Défenseur,64,18.4,7,38,19.0,16.0
2013/2014,214685,Défenseur,70,18.4,7,38,50.0,16.0
2013/2014,155548,Défenseur,64,18.4,7,38,19.0,16.0
2013/2014,30906,Défenseur,76,18.4,7,38,82.0,16.0
2013/2014,25830,Défenseur,69,18.4,7,38,45.0,16.0
2013/2014,72665,Défenseur,72,18.4,7,38,59.0,16.0
2013/2014,178210,Défenseur,63,19.4,7,36,15.0,17.0
2013/2014,195190,Défenseur,71,20.0,6,30,55.0,17.0
2013/2014,149952,Défenseur,69,20.0,6,30,45.0,17.0
2013/2014,127888,Défenseur,67,20.0,6,30,35.0,17.0
2013/2014,101070,Défenseur,67,20.0,6,30,35.0,17.0
2013/2014,13486,Défenseur,63,20.0,6,30,15.0,17.0
2013/2014,265688,Défenseur,72,20.0,6,30,59.0,17.0
2013/2014,242874,Défenseur,59,20.0,6,30,5.0,17.0
2013/2014,306174,Défenseur,57,20.0,6,30,3.0,17.0
2013/2014,362254,Défenseur,48,20.0,6,30,0.0,17.0
2013/2014,309052,Défenseur,59,20.0,6,30,5.0,17.0
2013/2014,26709,Défenseur,63,20.6,7,34,15.0,18.0
2013/2014,9079,Défenseur,72,20.6,7,34,59.0,18.0
2013/2014,26473,Défenseur,67,20.6,7,34,35.0,18.0
2013/2014,167094,Défenseur,72,20.6,7,34,59.0,18.0
2013/2014,290868,Défenseur,67,20.6,7,34,35.0,18.0
2013/2014,177715,Défenseur,69,20.6,7,34,45.0,18.0
